date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2/15/2021,MI,16130,15158,11,972,,,957,0,,258,9260443,49854,,,9260443,,135,630408,575489,1452,0,,,,,729522,517991,,0,9890851,51306,510509,,,,,0,9989965,51616
2/14/2021,MI,16119,15150,0,969,,,1024,0,,293,9210589,0,,,9210589,,123,628956,574224,0,0,,,,,727760,517991,,0,9839545,0,509378,,,,,0,9938349,0
2/13/2021,MI,16119,15150,92,969,,,1024,0,,293,9210589,32919,,,9210589,,123,628956,574224,944,0,,,,,727760,517991,,0,9839545,33863,509378,,,,,0,9938349,34182
2/12/2021,MI,16027,15062,8,965,,,1024,0,,293,9177670,40189,,,9177670,,123,628012,573372,1535,0,,,,,726497,498495,,0,9805682,41724,507720,,,,,0,9904167,41708
2/11/2021,MI,16019,15052,80,967,,,1061,0,,266,9137481,47251,,,9137481,,125,626477,572179,1507,0,,,,,724978,498495,,0,9763958,48758,505644,,,,,0,9862459,48676
2/10/2021,MI,15939,14977,14,962,,,1175,0,,299,9090230,33248,,,9090230,,149,624970,570895,1239,0,,,,,723553,498495,,0,9715200,34487,504736,,,,,0,9813783,34376
2/9/2021,MI,15925,14965,62,960,,,1175,0,,299,9056982,17526,,,9056982,,149,623731,569980,918,0,,,,,722425,498495,,0,9680713,18444,502950,,,,,0,9779407,18303
2/8/2021,MI,15863,14905,9,958,,,1211,0,,294,9039456,50220,,,9039456,,163,622813,569417,2128,0,,,,,721648,498495,,0,9662269,52348,501886,,,,,0,9761104,52588
2/7/2021,MI,15854,14894,0,960,,,1296,0,,300,8989236,0,,,8989236,,155,620685,567648,0,0,,,,,719280,498495,,0,9609921,0,500609,,,,,0,9708516,0
2/6/2021,MI,15854,14894,104,960,,,1296,0,,300,8989236,35510,,,8989236,,155,620685,567648,1186,0,,,,,719280,498495,,0,9609921,36696,500609,,,,,0,9708516,37025
2/5/2021,MI,15750,14798,25,952,,,1296,0,,300,8953726,45801,,,8953726,,155,619499,566630,1754,0,,,,,717765,481801,,0,9573225,47555,499022,,,,,0,9671491,47633
2/4/2021,MI,15725,14778,81,947,,,1376,0,,314,8907925,48411,,,8907925,,165,617745,565251,1885,0,,,,,715933,481801,,0,9525670,50296,497112,,,,,0,9623858,50126
2/3/2021,MI,15644,14704,35,940,,,1376,0,,314,8859514,38700,,,8859514,,165,615860,563893,1717,0,,,,,714218,481801,,0,9475374,40417,495084,,,,,0,9573732,40276
2/2/2021,MI,15609,14672,73,937,,,1404,0,,337,8820814,17350,,,8820814,,174,614143,562510,1433,0,,,,,712642,481801,,0,9434957,18783,493773,,,,,0,9533456,18400
2/1/2021,MI,15536,14609,11,927,,,1409,0,,336,8803464,47245,,,8803464,,170,612710,561307,2572,0,,,,,711592,481801,,0,9416174,49817,492095,,,,,0,9515056,49911
1/31/2021,MI,15525,14601,0,924,,,1479,0,,364,8756219,0,,,8756219,,193,610138,559241,0,0,,,,,708926,481801,,0,9366357,0,490470,,,,,0,9465145,0
1/30/2021,MI,15525,14601,115,924,,,1479,0,,364,8756219,41119,,,8756219,,193,610138,559241,1511,0,,,,,708926,481801,,0,9366357,42630,490470,,,,,0,9465145,43036
1/29/2021,MI,15410,14497,8,913,,,1479,0,,364,8715100,50324,,,8715100,,193,608627,557883,2139,0,,,,,707009,463106,,0,9323727,52463,487677,,,,,0,9422109,52513
1/28/2021,MI,15402,14491,88,911,,,1536,0,,363,8664776,49066,,,8664776,,192,606488,556109,2255,0,,,,,704820,463106,,0,9271264,51321,486152,,,,,0,9369596,51507
1/27/2021,MI,15314,14411,9,903,,,1594,0,,377,8615710,46477,,,8615710,,202,604233,554237,2065,0,,,,,702379,463106,,0,9219943,48542,483813,,,,,0,9318089,48890
1/26/2021,MI,15305,14405,86,900,,,1638,0,,382,8569233,24894,,,8569233,,210,602168,552556,2075,0,,,,,699966,463106,,0,9171401,26969,481240,,,,,0,9269199,26808
1/25/2021,MI,15219,14326,38,893,,,1668,0,,392,8544339,54976,,,8544339,,199,600093,551080,3347,0,,,,,698052,463106,,0,9144432,58323,479890,,,,,0,9242391,60168
1/24/2021,MI,15181,14291,0,890,,,1843,0,,396,8489363,0,,,8489363,,191,596746,548069,0,0,,,,,692860,463106,,0,9086109,0,476180,,,,,0,9182223,0
1/23/2021,MI,15181,14291,230,890,,,1843,0,,396,8489363,50911,,,8489363,,191,596746,548069,1826,0,,,,,692860,463106,,0,9086109,52737,476180,,,,,0,9182223,53925
1/22/2021,MI,14951,14070,18,881,,,1843,0,,396,8438452,42306,,,8438452,,191,594920,546468,2538,0,,,,,689846,442408,,0,9033372,44844,474589,,,,,0,9128298,44578
1/21/2021,MI,14933,14053,163,880,,,1907,0,,385,8396146,52919,,,8396146,,199,592382,544311,2513,0,,,,,687574,442408,,0,8988528,55432,472922,,,,,0,9083720,55655
1/20/2021,MI,14770,13905,35,865,,,2077,0,,396,8343227,37638,,,8343227,,214,589869,542146,2421,0,,,,,684838,442408,,0,8933096,40059,470055,,,,,0,9028065,40284
1/19/2021,MI,14735,13865,49,870,,,2055,0,,413,8305589,17949,,,8305589,,228,587448,540115,2320,0,,,,,682192,442408,,0,8893037,20269,468615,,,,,0,8987781,19436
1/18/2021,MI,14686,13824,17,862,,,2140,0,,475,8287640,61811,,,8287640,,236,585128,538377,3343,0,,,,,680705,442408,,0,8872768,65154,466525,,,,,0,8968345,65957
1/17/2021,MI,14669,13804,0,865,,,2222,0,,493,8225829,0,,,8225829,,256,581785,535534,0,0,,,,,676559,442408,,0,8807614,0,463812,,,,,0,8902388,0
1/16/2021,MI,14669,13804,119,865,,,2222,0,,493,8225829,48146,,,8225829,,256,581785,535534,2211,0,,,,,676559,442408,,0,8807614,50357,463812,,,,,0,8902388,51259
1/15/2021,MI,14550,13701,39,849,,,2222,0,,493,8177683,39417,,,8177683,,256,579574,533602,3001,0,,,,,673446,415079,,0,8757257,42418,461932,,,,,0,8851129,42191
1/14/2021,MI,14511,13672,175,839,,,2238,0,,499,8138266,45873,,,8138266,,258,576573,531004,3295,0,,,,,670672,415079,,0,8714839,49168,459952,,,,,0,8808938,48921
1/13/2021,MI,14336,13533,40,803,,,2246,0,,501,8092393,38500,,,8092393,,255,573278,528306,3128,0,,,,,667624,415079,,0,8665671,41628,457314,,,,,0,8760017,41461
1/12/2021,MI,14296,13501,104,795,,,2443,0,,525,8053893,32762,,,8053893,,285,570150,525612,2468,0,,,,,664663,415079,,0,8624043,35230,455811,,,,,0,8718556,35336
1/11/2021,MI,14192,13401,47,791,,,2396,0,,485,8021131,68657,,,8021131,,272,567682,523618,5129,0,,,,,662089,415079,,0,8588813,73786,453747,,,,,0,8683220,74472
1/10/2021,MI,14145,13355,0,790,,,2480,0,,517,7952474,0,,,7952474,,294,562553,519082,0,0,,,,,656274,415079,,0,8515027,0,450681,,,,,0,8608748,0
1/9/2021,MI,14145,13355,232,790,,,2480,0,,517,7952474,48901,,,7952474,,294,562553,519082,2898,0,,,,,656274,415079,,0,8515027,51799,450681,,,,,0,8608748,53347
1/8/2021,MI,13913,13132,40,781,,,2480,0,,517,7903573,49293,,,7903573,,294,559655,516376,3908,0,,,,,651828,363611,,0,8463228,53201,447754,,,,,0,8555401,54079
1/7/2021,MI,13873,13094,206,779,,,2578,0,,509,7854280,40848,,,7854280,,300,555747,512751,4249,0,,,,,647042,363611,,0,8410027,45097,445336,,,,,0,8501322,45058
1/6/2021,MI,13667,12918,59,749,,,2657,0,,523,7813432,40588,,,7813432,,304,551498,508736,4856,0,,,,,642832,363611,,0,8364930,45444,443670,,,,,0,8456264,45351
1/5/2021,MI,13608,12867,217,741,,,2758,0,,548,7772844,21976,,,7772844,,308,546642,504410,3031,0,,,,,638069,363611,,0,8319486,25007,440635,,,,,0,8410913,24546
1/4/2021,MI,13391,12678,85,713,,,2698,0,,550,7750868,166414,,,7750868,,313,543611,502119,5490,0,,,,,635499,363611,,0,8294479,171904,439529,,,,,0,8386367,183614
1/3/2021,MI,13306,12598,0,708,,,2758,0,,629,7584454,0,,,7584454,,368,538121,497127,0,0,,,,,618299,363611,,0,8122575,0,427428,,,,,0,8202753,0
